Netlist,LOFi1,LOFi2,PI
n2992,2,6,30
n1668,1,4,14
n2999,5,14,12
n2998,2,9,13
n1669,1,3,16
n1664,1,2,14
n2995,2,6,36
g26025,4,10,13
n2994,2,6,17
n2997,2,8,10
DFF_156_n1,4,8,25
n2996,2,8,14
g27354,4,11,17
g6677,4,5,8
n1693,1,3,12
n1692,1,2,14
n4720,1,1,6
n1695,1,2,30
n1691,1,2,9
n1690,1,2,30
n4727,1,4,5
n4728,1,4,5
n4725,1,1,7
n4263_Tj_Payload,2,4,17
n4726,1,1,6
g26037,2,4,20
n1697,1,2,14
n4723,1,1,6
n4724,1,1,7
n1699,1,2,14
n4721,1,1,6
n4722,1,1,6
g26031,2,4,25
n4729,1,4,5
DFF_144_n1,4,1,14
g27380,4,14,29
n1683,1,2,15
n1680,1,2,14
n4716,1,4,5
n1689,1,3,17
n4717,1,1,6
n4714,1,1,7
n4715,1,1,7
g26048,3,6,10
n4712,1,1,7
n4713,1,1,7
n1688,1,3,15
n4710,1,1,7
n1687,1,4,14
n4711,1,1,7
n4718,1,1,6
n4719,1,1,6
g2294,4,8,12
g16654,4,16,12
g2297,4,8,9
n3410,2,12,12
n4741,1,1,4
n3411,4,19,12
n4742,1,1,4
n4740,1,1,4
g27309,4,11,29
g27306,4,10,19
n3418,2,6,16
n4749,1,1,4
g27305,4,11,15
n3419,2,6,18
g27308,4,10,29
g28636,2,3,6
n3416,2,6,18
n4747,1,1,4
g27307,4,11,29
g28637,2,3,26
n3417,2,6,17
n4748,1,1,4
g27302,4,10,14
g28634,2,3,20
n3414,2,6,17
n4745,1,1,4
g27301,4,11,19
g28635,2,3,32
n3415,2,6,16
n4746,1,1,4
g27304,4,11,14
n3412,6,24,12
n4743,1,1,4
g27303,4,11,14
n3413,2,6,18
n4744,1,1,4
g309,4,8,27
g27300,4,10,15
g305,4,8,17
test_so98,4,6,26
test_so99,0,0,0
DFF_1147_n1,4,8,6
test_so90,4,8,12
n4730,1,4,5
test_so91,4,8,6
n3400,3,4,32
n4731,1,1,9
test_so92,4,6,16
test_so93,4,8,14
test_so94,4,8,14
test_so95,4,7,13
test_so96,4,7,16
test_so97,4,10,17
g27317,4,11,14
n3407,6,19,12
n4738,1,1,4
g27316,4,11,2
n3408,6,24,11
n4739,1,1,4
g27319,4,11,17
n3405,2,5,13
n4736,1,1,5
g27318,4,11,14
n3406,4,20,13
n4737,1,1,5
g27313,4,11,29
n3403,4,17,13
n4734,1,1,5
g27312,4,11,15
n3404,4,15,12
n4735,1,1,5
g27315,4,11,15
n3401,2,2,32
n4732,1,1,9
g27314,4,10,17
n3402,3,18,31
n4733,1,1,9
g27311,4,11,17
g27310,4,11,14
n3409,2,7,31
g7961,4,5,6
g324,4,8,29
g2273,4,8,11
g323,4,8,31
g2270,4,8,8
g322,4,8,31
DFF_655_n1,4,8,6
g321,4,8,31
g2276,4,8,12
g320,4,8,13
n2100,1,6,10
n3432,2,6,3
n4763,1,1,3
n3433,2,6,2
n4764,1,1,3
n2102,1,6,10
n3430,2,6,15
n4761,1,1,5
g2279,4,8,9
g16671,4,16,12
n2101,1,6,10
n3431,2,6,16
n4762,1,1,3
n4760,1,1,5
g27328,4,11,17
DFF_1378_n1,4,8,14
g27327,4,11,17
n2107,1,6,11
n3438,2,7,16
n4769,1,1,3
g27329,4,11,3
DFF_132_n1,4,9,27
n2109,1,6,4
n3439,2,7,12
g27324,4,11,29
n2104,1,6,10
n3436,3,12,28
n4767,1,1,3
g27323,4,11,29
n2103,1,6,11
n3437,3,10,15
n4768,1,1,3
g27326,4,10,19
n2106,1,6,11
n3434,2,6,23
n4765,1,1,3
g27325,4,11,15
n2105,1,6,10
n3435,2,7,16
n4766,1,1,3
g27320,4,10,15
g27322,4,10,29
g27321,4,11,19
g314,4,8,13
g6642,1,4,11
g313,4,8,11
g312,4,8,9
g2282,4,8,11
g2288,4,8,8
g2285,4,8,13
n3421,2,6,16
n4752,1,1,4
n3422,2,6,17
n4753,1,1,4
n4750,1,1,4
n3420,2,6,17
n4751,1,1,4
g27339,4,11,17
n3429,2,6,16
g27338,4,11,19
n3427,2,6,8
n4758,1,1,6
n3428,2,6,9
n4759,1,1,6
g27335,4,11,29
n3425,2,6,3
n4756,1,1,6
g27334,4,11,29
g28668,2,3,15
n3426,2,6,9
n4757,1,1,6
g27337,4,10,15
n3423,2,6,29
n4754,1,1,4
g27336,4,11,17
n3424,2,6,28
n4755,1,1,4
g27331,4,10,17
g27330,4,11,2
g27333,4,11,19
g319,4,8,11
g27332,4,11,15
g318,4,8,9
g317,4,4,1
g2291,4,8,11
g315,4,8,9
g1282,4,8,10
g343,4,8,27
g1285,4,8,12
g17269,4,13,14
g30245,4,13,2
g5648,4,8,9
g6979,4,1,8
g22615,4,6,16
n2485,3,10,5
n2484,2,8,40
g1288,4,8,14
n2487,4,9,12
n2486,2,8,11
n2481,3,9,20
n2480,2,8,11
n2483,4,11,6
n2482,3,10,20
g17271,4,13,2
g17270,4,13,12
n2489,4,11,14
n2488,4,9,33
g30246,4,13,3
g30247,4,13,15
g30248,4,16,13
g30249,4,13,10
g349,4,4,1
g1294,4,8,12
g1291,4,8,10
g4323,4,8,3
g1297,4,8,14
g4321,4,8,3
n2474,3,3,12
n2473,4,21,13
n2476,3,18,11
n2475,6,24,10
n2470,2,7,11
g5657,4,5,8
n2472,4,6,12
n2471,6,24,10
n2478,4,10,1
n2477,6,24,10
n2479,3,12,16
g337,4,8,10
g369,4,4,1
g1260,4,8,9
g30260,4,16,13
g368,4,8,29
g1261,4,8,17
g30261,4,16,30
g367,4,8,28
g30262,4,17,13
g366,4,8,29
g30263,4,11,11
g365,4,8,28
g1264,4,8,17
g30264,4,14,11
g364,4,8,3
g1265,4,8,13
g30265,4,14,15
g1262,4,8,13
g30266,4,14,15
g1263,4,8,15
g30267,4,10,10
g361,4,8,27
g1268,4,8,13
g2599,4,8,9
n4202,3,10,2
g1269,4,8,15
n4203,3,10,2
g1266,4,8,15
g2597,4,8,4
n4200,2,4,31
g5629,4,5,8
g2598,4,8,5
n4201,2,6,3
n4208,4,16,27
n4206,2,5,10
n4207,2,8,11
n4204,2,8,2
n4205,2,8,2
g30268,4,14,13
g30269,4,13,30
g358,4,8,27
g1271,4,4,1
g357,4,8,2
g1272,4,8,15
g30250,4,13,14
g30251,4,10,13
n2490,2,7,10
g1270,4,8,17
g30252,4,13,11
g354,4,8,27
g30253,4,16,3
g353,4,8,29
g1276,4,8,12
g30254,4,14,15
g352,4,8,28
g1273,4,8,10
g30255,4,16,13
g351,4,8,29
g30256,4,13,10
g5637,4,8,26
g350,4,8,28
g1279,4,8,14
n2496,2,10,13
n2495,2,10,13
n2498,6,15,12
n2497,2,10,13
n2492,2,10,32
n2491,2,10,32
n2494,3,6,14
n2493,2,10,25
n2499,6,15,12
g30257,4,14,11
g30258,4,11,14
g30259,4,14,15
g388,4,8,27
g17229,4,13,10
g387,4,8,28
g17228,4,13,12
g1243,4,8,14
g2574,4,8,12
g1240,4,8,14
g2571,4,8,14
g17226,4,13,16
g384,4,8,27
g17225,4,13,12
g383,4,4,1
g17224,4,13,16
g20876,4,11,16
n4224,3,10,3
g20877,2,1,8
n4225,3,10,19
g381,4,8,29
g1244,4,10,11
g17222,4,13,14
g20874,4,8,7
DFF_449_n1,4,8,7
n4222,4,16,35
g380,4,8,28
g1245,4,8,12
g20875,4,11,18
n4223,2,8,16
n4220,2,6,12
n4221,2,8,18
g1249,0,0,0
g20879,4,11,14
g29209,4,8,13
n4228,3,10,23
n4229,3,10,4
g29204,4,8,11
n4226,2,8,23
g29205,4,8,11
n4227,2,8,2
g29201,4,8,13
g2580,4,8,13
g379,4,8,29
g376,4,8,27
g1253,4,8,11
g2584,4,8,15
g1254,4,8,11
g1251,4,8,10
g373,4,8,27
g1252,4,8,10
g17236,4,13,17
g372,4,8,28
g1257,4,8,11
g17235,4,13,12
n4213,3,10,3
g1258,4,8,11
g17234,4,13,14
n4214,3,10,2
g1255,4,4,1
n4211,2,3,33
g1256,4,8,10
g2587,4,10,3
n4212,2,6,4
g5612,4,8,9
n4210,2,5,10
g6944,1,4,11
g1259,4,8,12
g20880,4,11,16
n4219,2,6,12
g20883,4,11,16
n4217,2,6,12
g20884,2,4,1
g29218,4,8,9
n4218,2,6,12
g20881,4,11,14
n4215,2,8,2
g20882,4,11,18
n4216,2,8,2
g29213,4,8,2
g29212,4,8,7
g26183,3,13,14
g1221,4,8,14
g2552,4,8,8
g17248,4,13,16
g17247,4,13,12
g1224,4,8,5
g2555,4,8,8
g17246,4,13,14
g20898,4,11,14
n4246,3,9,15
g20899,4,11,18
n4247,2,7,3
g1222,4,8,7
g2553,4,8,9
g20896,4,11,2
n4244,3,11,18
g1223,4,8,7
g2554,4,8,10
g20897,4,11,16
n4245,3,9,19
g2559,4,8,9
n4242,2,7,3
g1229,4,6,1
n4243,3,9,19
g6911,4,8,9
n4240,3,11,18
n4241,6,15,16
g20891,4,11,15
g20894,4,11,2
g20892,4,11,14
g29226,4,8,13
n4248,3,9,15
g20893,4,11,16
n4249,3,11,18
g29221,4,8,3
g398,4,8,27
g1231,4,5,8
g2562,4,8,9
g397,4,8,28
g396,4,8,29
g2560,4,8,8
g395,4,8,28
g2561,4,8,8
g394,4,8,29
g1235,4,10,11
n4235,3,11,18
g1236,4,5,12
n4236,3,9,19
g2564,4,8,12
n4233,2,7,4
g391,4,8,27
g2565,4,8,10
n4234,3,9,19
n4231,2,8,22
n4232,6,15,16
g1237,4,5,10
g2568,4,8,12
n4230,2,8,22
n4239,3,9,15
n4237,3,9,15
n4238,2,7,4
n4260,2,4,19
n4261,2,4,19
g2530,4,4,1
g2533,4,8,9
n4268,3,9,13
n4269,3,9,19
n4266,3,9,19
n4267,3,9,13
n4264,2,5,3
n4265,2,7,3
n4262,2,6,14
g2536,4,8,10
n4263,2,5,2
g2539,4,8,10
g1209,4,8,6
n4250,6,15,16
g2540,4,8,8
g1210,4,8,7
n4257,3,9,15
g1214,4,10,13
n4258,3,11,18
g1211,4,8,17
n4255,3,9,15
g2543,4,8,9
n4256,2,7,4
n4253,3,11,18
n4254,3,9,19
g2546,4,8,10
n4251,2,7,4
n4252,3,9,19
n4259,6,15,16
n4282,6,15,12
n4283,6,15,10
n4280,2,5,2
n4281,2,5,2
DFF_311_n1,4,8,6
n4288,4,8,3
g2510,4,8,13
n4289,4,4,4
g2516,4,8,11
n4287,4,8,3
g2513,4,8,9
n4284,6,15,8
n4285,6,15,3
g2519,4,8,13
DFF_797_n1,4,8,7
g16803,4,13,5
n4271,3,11,18
g16802,2,5,3
n4272,2,7,3
n4270,3,11,18
n4279,3,9,3
g2523,4,8,18
n4277,4,14,12
n4278,4,14,14
n4275,4,14,13
g2527,4,8,4
n4276,4,14,9
g2524,4,8,18
n4273,2,6,38
g2525,4,4,1
n4274,2,4,9
g2529,4,8,4
g24426,3,6,19
g30282,4,14,10
g30283,4,14,14
g30284,4,10,10
g30285,4,10,13
g30286,4,10,14
g30287,4,13,10
g30288,4,14,13
g30289,4,13,30
g30280,4,17,13
g30281,4,11,11
g22651,4,6,16
g30271,4,11,2
n4293,4,8,10
g30272,4,14,11
n4294,4,8,10
g30273,4,11,14
n4291,4,6,21
g30274,4,17,15
n4292,4,8,10
g30275,4,16,2
g30276,4,13,15
n4290,4,8,3
g30277,4,10,11
g30278,4,11,3
g2501,4,8,17
n4299,4,5,12
g2504,4,8,9
n4297,4,8,15
n4298,4,5,8
g2502,4,8,17
n4295,4,8,10
g2503,4,8,17
g30270,4,11,13
n4296,4,5,8
g2507,4,8,11
g30279,4,16,30
g21346,4,14,16
g30293,4,10,11
g30294,4,16,13
g30295,4,13,15
g30296,4,10,11
g30297,4,14,13
g30298,4,10,13
g30299,4,10,10
g30290,4,17,2
g30291,4,11,10
g30292,4,13,13
g22687,4,6,16
DFF_307_n1,4,8,6
n1954,1,6,11
n1953,1,6,11
n1956,1,6,11
g23022,4,13,9
n1955,1,6,11
n1950,1,6,11
n1952,1,6,11
n1951,1,6,11
n1958,1,2,14
n1943,1,2,12
n1942,1,2,11
n1944,1,3,19
g23039,4,13,11
n1941,1,2,10
n1947,1,6,11
n1946,1,2,14
g23030,4,13,10
n1949,1,6,11
n1948,1,6,11
g7487,4,8,9
g23047,4,13,10
n1976,1,6,3
g28738,4,8,29
n1975,1,3,14
g28735,4,8,11
n1978,1,6,13
g28736,4,10,15
n1977,1,6,13
n1974,1,6,13
g28732,4,8,29
n1979,1,6,11
g23058,4,13,11
g28749,4,8,3
g28746,4,8,11
g28747,4,10,15
g28744,4,8,13
n1961,1,2,14
g28745,4,10,2
n1960,1,2,14
n1990,1,3,8
n1998,1,6,6
n1997,1,2,7
n1999,1,6,6
n1994,1,3,8
n1993,1,6,6
n1996,1,6,6
n1995,1,2,7
n1980,1,2,3
n1987,1,2,10
n1986,1,2,3
n1989,1,6,9
n1988,1,2,12
n1982,1,2,3
n1984,1,2,3
g3087,4,8,14
g3086,4,8,12
g3085,4,8,10
g3084,4,8,12
g3088,4,8,14
n3715,4,16,9
n3716,2,4,12
n3713,3,9,9
g23000,4,13,8
n3714,3,8,10
n3711,2,4,13
n3712,3,7,11
n3710,4,16,13
g3094,4,8,10
n3719,3,9,10
g3093,4,8,14
g16718,4,16,12
g3092,4,8,12
g3091,4,8,10
n3718,3,7,12
g3098,4,8,12
g3097,4,8,10
g3096,4,8,14
g3095,4,8,12
g3099,4,8,14
g23014,4,13,10
n3704,3,10,31
n3705,2,6,21
n3702,2,8,26
n3703,2,4,21
n3700,2,0,1
n3701,2,5,32
n3708,2,8,5
n3709,2,4,12
n3706,2,6,11
n3707,5,15,6
g3065,4,7,20
Tj_OUT2,2,8,13
g3064,4,7,16
Tj_OUT1,2,7,14
g7425,4,5,8
g3063,4,7,16
Tj_OUT4,2,4,15
g3062,4,7,20
Tj_OUT3,2,6,13
g3069,4,7,19
g3068,4,7,19
g3067,4,6,4
g3066,4,6,4
n3730,3,9,10
n2405,4,7,4
n3737,2,6,17
n2404,4,7,4
n3738,2,6,17
n2407,3,10,5
n3735,2,6,22
n2406,4,10,5
n3736,2,6,18
n2401,2,6,6
n3733,2,6,23
g26135,4,20,9
n2400,3,12,16
n3734,2,8,7
n2403,2,8,5
n3731,3,8,11
n2402,2,5,18
g3072,4,7,16
n2409,5,12,11
Tj_OUT6,2,6,12
g3071,4,3,1
n2408,3,11,12
Tj_OUT5,2,6,29
n3739,2,6,25
Tj_OUT8,2,4,16
Tj_OUT7,2,4,16
g3076,4,6,5
g3075,4,6,5
g3074,4,7,20
g3073,4,7,16
g3078,4,7,19
g3077,4,7,19
n3726,3,8,10
n3727,4,16,13
n3724,3,7,11
n3725,3,9,9
n3722,2,4,13
g26149,4,20,24
n3720,3,8,11
n3721,4,16,11
g3083,4,8,19
DFF_18_n1,4,8,3
g3080,4,6,6
n3729,3,7,12
g402,4,8,13
g3043,4,7,20
g401,4,5,10
g3047,4,6,4
g3046,4,7,20
g3045,4,7,14
g3044,4,7,14
n3751,3,11,11
n3752,2,8,7
g3049,4,7,19
n2421,2,6,4
g3048,4,6,4
n2420,2,6,13
n3750,2,8,7
n2427,5,11,4
n3759,2,8,3
n2426,2,6,2
DFF_1355_n1,4,8,5
n2429,2,7,11
n3757,2,5,12
n2428,2,3,6
n3758,3,11,28
n2423,3,8,22
n3755,2,6,16
n2422,3,6,22
n3756,2,8,5
n2425,2,6,19
n3753,2,6,18
n2424,2,5,8
n3754,2,6,17
g408,4,8,9
g3050,4,7,19
g404,4,8,12
g403,4,8,9
g3053,4,7,16
g3052,4,7,20
g3051,4,10,17
g3058,4,6,5
g3057,4,6,5
g3056,4,3,1
n3740,2,3,9
n3741,2,6,24
n2410,2,10,12
g3059,4,7,19
n2416,4,7,4
n3748,2,8,9
n3749,3,11,28
n2418,5,12,11
n3746,2,6,17
n2417,5,12,11
n3747,2,6,16
n2412,5,12,11
n3744,2,6,17
n2411,4,7,4
n3745,2,6,18
n2414,4,7,4
n3742,2,6,23
n2413,5,12,11
n3743,2,6,17
g3061,4,10,17
g3060,4,7,19
n2419,2,4,18
g423,4,8,13
g5686,4,8,9
g420,4,8,11
g3024,4,2,1
n2441,5,12,4
n3773,2,10,4
g3028,4,6,25
n2440,2,4,12
n3774,6,18,8
n2443,5,12,4
n3771,2,10,4
n2442,6,24,10
n3772,2,10,4
n3770,6,18,8
g28759,4,10,17
n2448,6,24,10
g23067,4,18,8
g28758,4,8,13
DFF_1625_n1,4,8,3
n2445,2,9,11
n3777,2,10,9
n2444,6,24,10
n3778,2,10,8
n2447,5,12,4
n3775,6,21,7
g28754,4,10,3
n2446,2,4,17
n3776,6,21,7
g429,4,8,9
g428,4,4,1
g426,4,8,17
g5695,4,5,8
g3032,4,6,10
g411,4,8,11
g3036,4,7,10
n2430,2,2,15
n3762,3,5,4
n3763,4,9,6
n2432,6,15,3
n3760,2,7,12
n2431,6,24,10
n3761,2,12,11
n2438,2,2,15
n2437,6,15,13
n3768,6,18,8
n2439,2,8,2
n3769,6,18,8
n2434,2,4,18
n3766,2,10,9
g28767,4,10,17
n2433,2,2,5
n3767,2,10,9
n2436,6,24,10
n3764,3,6,5
g26104,4,20,16
n2435,5,12,4
n3765,2,10,9
g28763,4,8,29
g28760,4,8,7
DFF_794_n1,4,8,7
DFF_1146_n1,4,8,6
g28761,4,10,11
g417,4,8,9
g23076,4,13,11
g414,4,8,13
g444,4,8,13
g441,4,8,11
g3002,4,6,21
n2463,2,7,11
n3795,2,10,9
g3006,4,7,17
n2462,2,3,6
n3796,2,10,8
n2465,2,3,6
n3793,4,9,7
n2464,6,24,10
n3794,3,6,6
n3791,2,12,10
n3792,3,5,30
n2461,5,16,5
n2460,6,24,10
n3790,2,7,11
n2467,6,24,10
n3799,6,18,7
g28778,4,10,15
n2466,2,7,11
n2469,2,3,16
n3797,2,10,8
n2468,5,11,4
n3798,6,18,7
g28773,4,8,11
g28774,4,10,15
g23081,4,18,10
g28771,4,8,9
g28772,4,10,15
g449,4,8,18
g448,4,8,18
g447,4,8,18
g435,4,8,13
g432,4,8,11
g3013,4,7,25
g3018,4,6,15
n2452,5,17,12
n3784,2,6,17
n2451,2,8,13
n3785,2,6,16
n2454,2,7,2
n3782,6,18,6
n2453,3,11,15
n3783,2,6,18
n3781,6,15,6
n2450,3,10,9
n2459,2,2,15
g28788,4,10,19
n2456,6,24,10
n3788,3,11,28
n2455,3,11,16
n3789,2,5,8
n2458,2,7,11
n3786,2,5,10
n2457,2,3,16
n3787,2,8,11
g23093,4,18,8
g23092,4,13,10
g28782,4,8,13
g28783,4,10,19
g438,4,8,9
g23097,4,18,10
g2492,4,4,1
DFF_657_n1,4,8,6
g465,4,8,6
g464,4,8,8
g1165,4,8,9
g1166,4,8,10
g461,4,8,8
g1164,4,8,8
g2495,4,8,11
n2364,2,6,2
n3696,4,10,33
n2363,3,11,15
n3697,5,15,32
g1167,4,8,8
g2498,4,8,13
n2366,2,3,16
n3694,3,7,28
n2365,3,11,16
n3695,2,5,27
n2360,2,7,2
n3692,2,6,22
n3693,2,6,23
g17383,4,13,14
n2362,5,16,5
n3690,2,6,16
n2361,2,4,17
n3691,2,6,23
n2368,6,24,10
n2367,2,7,11
n3698,2,4,17
n2369,2,3,16
n3699,3,7,28
g1172,4,8,8
g1173,4,8,8
g455,4,8,6
g454,4,8,5
g1171,4,8,9
DFF_142_n1,4,8,25
g1176,4,8,12
g452,4,8,5
g4200,4,8,3
g450,4,8,4
g1175,4,4,1
n2353,6,15,13
n3685,2,6,9
n2352,6,24,10
n3686,2,6,8
n2355,2,4,18
n3683,2,6,2
n2354,2,2,15
n3684,2,6,29
n3681,2,6,16
n3682,2,6,3
n2351,2,2,15
n2350,2,7,11
n3680,2,6,17
n2357,6,24,10
n3689,2,6,15
n2356,5,12,4
n2359,2,2,15
n3687,2,6,9
n2358,6,15,13
n3688,2,6,16
g30356,4,8,13
g1180,4,4,1
g458,4,8,7
g2470,4,8,28
g489,4,8,3
g2471,4,8,29
g488,4,8,8
n2380,2,7,11
g487,4,8,7
g486,4,8,6
g485,4,8,6
g484,4,8,7
g1141,4,8,5
g2472,4,8,28
g1142,4,8,8
g2473,4,8,27
g2478,4,8,9
g6837,1,4,7
g1148,4,8,10
g2479,4,8,11
n2385,3,7,1
g480,4,8,6
g1145,4,8,9
g2476,4,5,10
n2388,2,8,13
n2387,3,10,9
n2382,6,24,10
n2381,2,2,15
n2384,6,24,10
n2383,5,12,4
n2389,5,17,12
g479,4,8,8
g478,4,8,7
g1151,4,8,10
g477,4,8,6
g5511,1,4,3
g2480,4,5,8
g1155,4,8,9
g2486,4,8,11
g1152,4,8,8
g2483,4,8,9
g471,4,4,1
g1158,4,8,10
n2375,2,4,14
n2374,2,9,13
n2377,6,24,10
n2376,5,12,4
n2371,6,24,10
n2370,2,7,11
n2373,6,24,10
n2372,5,12,4
n2379,2,3,16
n2378,5,11,4
g1122,4,4,1
g18678,4,13,13
g2451,4,8,27
g1125,4,8,9
g2456,4,8,29
g20997,4,8,3
n4103,2,6,19
g2457,4,8,28
n4104,2,6,18
g2454,4,8,29
g20995,4,11,3
n4101,2,6,18
g2455,4,8,28
g20996,4,8,18
n4102,2,6,20
g17341,4,13,12
g17340,4,13,14
n4100,2,6,17
g2458,4,8,29
g20999,4,11,15
g1128,4,8,11
g2459,4,8,27
g20990,4,11,14
n4109,2,6,16
g20993,4,11,15
n4107,2,6,18
g20994,4,11,14
n4108,2,6,17
g20991,4,11,16
n4105,2,6,17
g20992,4,8,18
n4106,2,6,16
g499,4,8,10
n2391,2,3,16
n2390,6,24,10
g2463,4,8,27
g496,4,8,14
g1131,4,8,13
g2462,4,8,28
g493,4,8,12
g1136,4,8,16
n2397,6,24,10
g1137,4,8,5
n2396,3,3,12
g1134,4,8,16
n2399,6,24,10
g490,4,8,10
g1135,4,8,16
g2466,4,8,27
n2398,3,18,11
n2393,6,24,10
n2392,2,7,11
g2469,4,8,29
n2395,4,21,13
g1139,4,8,5
n2394,4,6,12
g30341,4,8,11
n4125,4,16,6
g1104,4,8,9
n4126,2,6,17
g1101,4,8,13
g2432,4,8,28
n4123,2,6,12
g2433,4,8,27
n4124,2,6,38
g1107,4,8,11
n4121,4,16,6
g2439,4,8,29
n4122,2,6,13
g2436,4,8,27
n4120,2,6,17
n4129,4,16,26
DFF_1011_n1,4,8,5
n4127,2,6,17
n4128,2,6,15
DFF_1149_n1,4,8,6
DFF_1497_n1,4,8,6
g1110,4,8,13
g2441,4,4,1
g2442,4,8,28
g1114,4,8,15
n4114,2,6,17
g1115,4,8,15
n4115,2,6,16
g2443,4,8,29
n4112,2,6,16
g1113,4,8,15
g2444,4,8,27
n4113,2,6,18
n4110,2,6,18
n4111,2,6,17
g1116,4,8,9
g2447,4,8,28
g2448,4,8,27
n4118,6,15,8
n4119,6,21,10
n4116,6,24,9
n4117,6,24,5
g29357,2,3,26
g29354,2,3,32
g29355,2,3,6
g30338,4,8,9
g29353,2,3,20
n4140,2,7,15
g2412,4,8,3
g24519,4,11,14
n4147,3,12,10
n4148,2,7,11
n4145,2,7,11
n4146,2,8,13
n4143,2,5,16
g2417,4,8,2
g19172,4,10,2
n4144,4,14,26
g19173,4,10,2
n4141,2,5,16
n4142,2,7,5
g24511,4,11,16
g2418,4,8,27
g24513,4,11,19
g19167,4,10,2
n4149,2,7,18
g24510,4,11,12
g12539,6,15,2
n4136,2,7,15
g2424,4,8,3
DFF_1361_n1,4,8,5
n4137,2,5,16
g2421,4,8,27
n4134,2,6,17
n4135,2,8,11
g2427,4,8,28
n4132,2,6,17
g2428,4,8,29
g24527,4,11,19
n4133,2,6,18
g2425,4,8,28
g19184,4,10,2
n4130,2,6,14
g2426,4,8,29
n4131,2,6,17
g24522,4,11,12
g2429,4,4,1
g24524,4,11,12
g19178,4,10,2
g24525,4,11,16
n4138,2,7,15
g24521,4,11,14
n4139,2,5,16
n4161,2,7,17
n4162,2,8,13
n4160,2,7,19
n4169,2,5,22
n4167,2,7,17
n4168,2,8,13
g24537,4,11,12
n4165,2,8,13
g24538,4,11,16
n4166,2,7,17
n4163,3,12,16
n4164,2,7,19
g24534,4,11,14
g24535,4,11,12
g24532,4,11,14
n4150,2,8,13
n4151,3,12,17
n4158,2,7,18
n4159,2,8,13
n4156,2,8,13
n4157,3,12,18
g24548,4,11,12
n4154,2,7,18
n4155,2,7,19
n4152,2,7,11
n4153,2,8,13
g24545,4,11,14
g28903,3,13,11
g24547,4,11,14
n4183,4,16,22
n4184,2,6,18
n4181,2,6,12
n4182,2,8,20
n4180,2,8,28
n4189,2,8,11
n4187,2,6,18
n4188,2,6,17
n4185,2,6,17
n4186,2,8,11
n1912,1,6,31
n1918,1,2,15
n1917,1,2,11
n1919,1,2,13
n1914,1,6,31
n1913,1,3,4
n1916,1,6,3
n1915,1,6,5
n4172,2,8,28
n4173,2,5,2
n4170,2,8,28
n4171,2,5,2
n4178,2,5,28
n4179,2,8,28
n4176,2,5,28
n4177,2,5,16
n4174,2,5,28
n4175,2,8,2
n1901,1,6,9
n1900,1,6,9
g12507,6,15,4
n1906,1,6,11
n1903,1,6,9
n1902,1,6,9
n1905,1,6,11
g1982,4,8,14
g1988,4,8,12
g1985,4,8,10
n1932,1,3,16
g19144,4,10,2
n1933,1,3,17
g19149,4,10,2
n4194,2,3,4
n4195,2,3,32
g12524,6,15,12
n4192,2,8,11
n4193,2,4,5
n4190,2,6,18
g1991,4,8,14
n4191,2,6,17
g1994,4,8,10
g24508,4,11,12
n4198,2,3,32
n4199,2,3,33
g19162,4,10,2
n4196,2,4,6
g1997,4,8,12
g19163,4,10,2
g24507,4,11,14
n4197,2,3,5
g19153,4,10,2
n1921,1,1,15
g19154,4,10,2
g24501,4,11,19
n1920,1,6,3
n1923,1,6,12
n1922,1,1,15
g19157,4,10,2
n1928,1,6,12
n1925,1,6,12
n1924,1,2,13
n1927,1,6,12
n1926,1,2,13
g12499,6,15,12
g16857,4,13,20
g16854,4,13,17
g16853,4,13,17
g16851,4,13,20
n1833,1,3,17
n1832,1,3,16
DFF_1007_n1,4,8,5
g24476,3,7,10
g24473,2,4,18
g7390,1,4,11
n4095,4,10,13
n4096,2,10,11
n4093,4,10,13
g16866,4,13,18
n4094,2,10,11
n4091,2,5,13
n4092,2,10,5
n4090,4,10,13
g16861,4,13,17
g16860,4,13,21
n4099,2,6,11
n4097,4,10,13
n4098,2,6,12
n1822,1,2,13
n1821,1,6,12
n1824,1,2,13
n1823,1,6,12
n1820,1,1,15
n1829,1,3,15
n1826,1,6,12
n1825,1,6,12
n1828,1,4,13
n1855,1,6,11
n1854,1,6,11
n1857,1,2,14
n1851,1,6,11
n1850,1,6,11
g24498,4,11,12
n1853,1,6,11
g24499,4,11,16
n1852,1,6,11
n1859,1,2,14
g24491,4,11,19
g16880,4,13,21
g20902,4,11,14
g20903,4,11,16
g20900,4,11,16
g20901,4,11,15
n1843,1,3,17
n1846,1,6,11
n1845,1,2,14
n1840,1,2,10
n1842,1,2,12
n1841,1,2,11
n1848,1,6,11
n1847,1,6,11
n1849,1,6,11
DFF_1616_n1,4,8,18
g12457,6,15,10
g24438,3,6,19
g24434,3,6,19
n1877,1,6,10
n1876,1,6,4
n1878,1,2,29
g24430,3,6,19
n1873,1,6,12
n1875,1,6,12
n1874,1,6,13
g7357,4,8,9
g12467,6,15,12
g16824,4,13,21
g16823,2,5,3
n1860,1,2,14
g24445,2,4,20
g24446,3,5,10
g23111,4,18,10
g23110,4,13,12
g23117,4,18,9
g23114,4,18,10
g16835,4,13,5
n1891,1,6,9
n1890,1,2,13
n1893,1,2,10
n1892,1,3,11
g23124,4,18,10
n1899,1,6,9
g23123,4,13,12
